source,version,name,version_in_other,name_in_other,statement_count,raw_md5,whitespace_removed_md5,note
live,20260914194731,fix_draft_purchase_delete_trigger_return,false,false,1,5fc0b050b9c30c0fbeccf11d6e9461d7,2ad0f7ef68f351d3341ede7db451a5c2,version_absent
live,20260914195412,fix_sales_draft_delete_flow,false,false,1,b837c45e26c187ec1929d131474bb19a,00f59659f51d62427d51098ca044518f,version_absent
live,20260914200904,fix_purchase_consolidated_linking_tenant_scope,false,false,1,58c0f5b61c2150803035702acfbf9657,8d3b018486e3cd6d781ec10bec1f0a95,version_absent
live,20260914201228,fix_purchase_consolidated_charge_scope_column,false,false,1,1d22f486e24d7a4e935feef68f1185b8,ca4ab49da1841719243a876766346a25,version_absent
live,20260914205214,grant_authenticated_company_settings_select,false,false,1,7fd5a7eb621764013343550c2255ac2c,a861deb4e16e65fed0127c44f9c68f91,version_absent
live,20260914212031,rename_consolidated_sales_prefix_hwl_to_ci_v2,false,false,1,17bdaa9e7fa65d646dede99203986663,cc438799faa89f305d961e7777807d41,version_absent
live,20260914221641,preview_next_sales_invoice_number,false,true,1,5038e9e417e4159d9bac7295535380e5,8cab5e4658cc89f37211b439dd96dc3a,version_absent;name_present;duplicate_live_name
live,20260914225757,fix_sales_post_tenant_user_resolution,false,false,1,7db2309aa1cb072ecdd491d71918f7d3,26d32dc9bf76b886e273ecf496532f56,version_absent
live,20260914225847,fix_sales_post_core_user_resolution_v3,false,false,1,28cb82853d067d1ee0e9e5a415382147,5b19c25a493c22608c32c71aa9594876,version_absent
live,20260914230724,expand_runtime_language_constraints_global_catalog,false,false,1,a3acc62e02197e872f8e2274ac0fa2a5,c3b745c942017a52585c3fd56763fd7d,version_absent
live,20260914232007,preview_next_sales_invoice_number,false,true,1,7e87acddb58c4d03c17f63b11b6e6fe1,c8099a2fca7bd131c10d490530e7fdff,version_absent;name_present;duplicate_live_name
live,20260915001202,link_future_invoice_posting_traceability,false,false,1,ab6f3854f60eadd5853e55d178745650,c0daecd988358f526ea447e9d175712b,version_absent
live,20260915001854,admin_posted_record_control_foundation,false,false,1,7e43951bc0d91ae77897d216f37b3471,239e76f03e6dabb90849199fedfa3534,version_absent
live,20260915002205,enforce_invoice_source_traceability,false,false,1,cdf4735a48adbda57dfd1839a7f176c4,bdf5bb7717cf848809d54b0f263e15b1,version_absent
